Number of weeks,Description,All retailing,All retailing except automotive fuel,Predominantly food stores,Non-specialised stores (i.e supermarkets),Specialist food stores (i.e butchers and bakers),"Alcoholic drink, beverages & tobacco",Predominantly non-food stores,Non-specialised stores (i.e department stores),Other non-food stores,Dispensing chemists,Medical goods,Cosmetics and toilet articles,Computers & telecoms equipment,"Carpets, rugs, wall & coverings","Books, newspapers & stationery","Sports equipment, games and toys",Watches and jewellery,"Flowers, plants, seeds, fertilisers, pet animals and pet food",Other retail sales of new goods in specialised stores,Second-hand goods,"Textile, clothing & footwear stores",Textiles,Clothing,Footwear and leather goods,Household goods stores,"Furniture, lighting and household articles n.e.c",Electrical household aplliances,"Hardware, paints and glass",Music and video recordings & equiptment,Non-store retailing,Mail order,Fuel
4.0,2013OCT,27819681,24915686,11609694,10766274.0,627763,215657,11477707,2325697.0,3545814,87626.0,40583.0,260849.0,332545,185012.0,305521,633865,403158.0,337451.0,766032.0,193172.0,3373749,52045.0,2981535.0,340169.0,2232447,852482.0,465304.0,832727.0,81934,1828285,1616818.0,2903995.0
4.0,2013NOV,27877738,25028777,11655604,10790260.0,626899,238445,11493728,2311722.0,3602787,93856.0,40637.0,261432.0,343114,186880.0,301240,657831,438034.0,334303.0,777739.0,167721.0,3374894,47727.0,2987726.0,339441.0,2204325,849638.0,473873.0,801984.0,78830,1879445,1631747.0,2848961.0
5.0,2013DEC,34936097,31285398,14480960,13461363.0,778721,240876,14507539,2908407.0,4462722,112302.0,49827.0,319558.0,415462,231332.0,368382,774481,519177.0,390311.0,1022222.0,259668.0,4271452,63635.0,3768240.0,439577.0,2864958,1127890.0,579553.0,1047127.0,110388,2296899,1967850.0,3650699.0
5.0,2014JAN,35037382,31466574,14627162,13542968.0,808686,275508,14615501,2939085.0,4500023,106660.0,49844.0,321964.0,425762,217878.0,356998,847591,488828.0,415148.0,1031681.0,237669.0,4242900,68827.0,3766032.0,408041.0,2933493,1109173.0,612699.0,1103547.0,108074,2223911,1949565.0,3570808.0
4.0,2014FEB,28145634,25246015,11636179,10785597.0,638934,211648,11614919,2335018.0,3628515,85267.0,44299.0,257365.0,340753,187150.0,284795,686947,400501.0,339200.0,782330.0,219908.0,3342672,62059.0,2930708.0,349905.0,2308714,889435.0,480928.0,852417.0,85934,1994917,1771361.0,2899619.0
5.0,2014MAR,35619985,31799964,14548962,13484069.0,797304,267589,14842590,2977841.0,4602620,112159.0,49430.0,319643.0,437327,216545.0,365995,883251,530798.0,456770.0,1039980.0,190722.0,4381936,75273.0,3850053.0,456610.0,2880193,1103929.0,602735.0,1072624.0,100905,2408412,2161294.0,3820021.0
4.0,2014APR,28398578,25487696,11767941,10876825.0,643634,247482,11724818,2398109.0,3556803,90231.0,46710.0,251664.0,337186,169750.0,302942,692120,409574.0,326976.0,746010.0,183640.0,3466878,64627.0,3065240.0,337011.0,2303028,879199.0,499287.0,844829.0,79713,1994937,1787115.0,2910882.0
4.0,2014MAY,28438783,25541755,11622597,10791048.0,631714,199835,11827335,2398138.0,3640804,94770.0,43568.0,245286.0,347384,167213.0,300363,721191,420490.0,305089.0,784478.0,210972.0,3490564,58970.0,3101925.0,329669.0,2297829,876270.0,484576.0,857722.0,79261,2091823,1876663.0,2897028.0
5.0,2014JUN,35822318,32190785,14631594,13607045.0,775742,248807,15034954,3003343.0,4659237,118568.0,53583.0,316608.0,432992,222876.0,375771,918586,594285.0,368462.0,1011185.0,246321.0,4394772,71637.0,3897660.0,425475.0,2977602,1142783.0,633027.0,1097424.0,104368,2524237,2260673.0,3631533.0
4.0,2014JUL,28593119,25662050,11749728,10926798.0,622053,200877,11885555,2384769.0,3680865,90043.0,45123.0,252505.0,340805,169020.0,300760,732179,410850.0,306974.0,823051.0,209555.0,3497343,60441.0,3096922.0,339980.0,2322578,909891.0,478639.0,850330.0,83718,2026767,1817091.0,2931069.0
4.0,2014AUG,28555418,25636671,11592808,10763665.0,620039,209104,12039848,2433409.0,3672121,85871.0,42870.0,260604.0,348502,175640.0,310218,726467,439953.0,294934.0,780995.0,206067.0,3541384,61185.0,3139935.0,340264.0,2392934,938216.0,490639.0,882094.0,81985,2004015,1810622.0,2918747.0
5.0,2014SEP,35419535,31926168,14544018,13513673.0,766335,264010,14868966,3016671.0,4594570,109035.0,52289.0,334316.0,462034,224511.0,392607,875802,553181.0,381521.0,975424.0,233850.0,4308202,77276.0,3812986.0,417940.0,2949523,1174169.0,614441.0,1059273.0,101640,2513184,2271826.0,3493367.0
4.0,2014OCT,28477322,25715770,11694633,10856766.0,623709,214158,12014647,2440145.0,3693132,82212.0,42838.0,268166.0,372923,175621.0,307046,716782,448228.0,314594.0,785356.0,179366.0,3490690,60902.0,3079684.0,350104.0,2390680,952030.0,503691.0,850575.0,84384,2006490,1824575.0,2761552.0
4.0,2014NOV,28635586,25852582,11789719,10956828.0,615181,217710,12043937,2437573.0,3732580,84526.0,42345.0,271551.0,364835,180667.0,316908,714045,472043.0,316819.0,775200.0,193641.0,3528193,57706.0,3122012.0,348475.0,2345591,950240.0,440594.0,875137.0,79620,2018926,1842533.0,2783004.0
5.0,2014DEC,36246496,32772830,14631942,13566204.0,770803,294935,15493132,3033436.0,4807204,111588.0,52633.0,337326.0,472791,219373.0,401229,882844,572775.0,390125.0,1125832.0,240688.0,4606210,81278.0,4074575.0,450357.0,3046282,1193173.0,648944.0,1106661.0,97504,2647756,2414461.0,3473666.0
4.0,2015JAN,28424416,25644263,11603215,10744975.0,611130,247110,11972869,2444112.0,3619456,82444.0,43555.0,264476.0,374914,143910.0,315399,714047,413560.0,385961.0,707206.0,173984.0,3503345,49469.0,3095041.0,358835.0,2405956,956910.0,491449.0,879896.0,77701,2068179,1909277.0,2780153.0
4.0,2015FEB,28562545,25965338,11592002,10739512.0,618272,234218,12271488,2493895.0,3734016,84069.0,44047.0,258274.0,365175,128918.0,316449,754971,422604.0,354018.0,812928.0,192563.0,3613320,53177.0,3199276.0,360867.0,2430257,967910.0,512821.0,872622.0,76904,2101848,1917883.0,2597207.0
5.0,2015MAR,35816518,32495728,14560502,13508804.0,768786,282912,15264571,3074593.0,4590654,105354.0,55264.0,326276.0,426491,161425.0,402414,941492,570980.0,447742.0,940628.0,212588.0,4498625,72773.0,4007386.0,418466.0,3100699,1267537.0,631791.0,1094172.0,107199,2670655,2455124.0,3320790.0
4.0,2015APR,28830301,26115566,11630606,10760849.0,629445,240312,12311234,2477438.0,3659591,83192.0,43145.0,260722.0,369720,126196.0,306185,764200,443159.0,384464.0,715788.0,162820.0,3686661,59416.0,3266836.0,360409.0,2487544,1023107.0,497349.0,877942.0,89146,2173726,1989667.0,2714735.0
4.0,2015MAY,28822601,26088760,11685050,10808963.0,637113,238974,12256379,2464424.0,3689428,80018.0,46708.0,267243.0,375127,132942.0,318418,735384,428630.0,365008.0,751168.0,188782.0,3607566,62023.0,3185107.0,360436.0,2494961,1040121.0,513164.0,860262.0,81414,2147331,1973415.0,2733841.0
5.0,2015JUN,36203045,32767662,14624560,13526874.0,793973,303713,15365445,3091033.0,4550573,99346.0,58210.0,325522.0,478861,159429.0,400213,901580,518365.0,453339.0,877556.0,278152.0,4625805,74583.0,4091927.0,459295.0,3098034,1301963.0,617053.0,1082755.0,96263,2777657,2548787.0,3435383.0
4.0,2015JUL,28899661,26195837,11625726,10755644.0,629056,241026,12241615,2517871.0,3588180,81048.0,46595.0,262623.0,411537,120656.0,326487,736949,419123.0,340427.0,687642.0,155093.0,3582608,60640.0,3164851.0,357117.0,2552956,1080285.0,514753.0,877637.0,80281,2328496,2145801.0,2703824.0
4.0,2015AUG,28520164,25862129,11474268,10634980.0,600382,238906,12210799,2481344.0,3626829,77900.0,43630.0,263562.0,418873,126043.0,326525,727540,414104.0,349514.0,706577.0,172561.0,3646075,56998.0,3214456.0,374621.0,2456551,982978.0,502063.0,889894.0,81616,2177062,2014070.0,2658035.0
5.0,2015SEP,36334868,32953495,14801179,13703168.0,775671,322340,15355786,3132595.0,4569828,100967.0,67538.0,327623.0,551132,158147.0,399990,922228,505143.0,437164.0,873814.0,226082.0,4516121,75710.0,3983467.0,456944.0,3137242,1287293.0,626344.0,1119638.0,103967,2796530,2578715.0,3381373.0
4.0,2015OCT,28642697,25964911,11580631,10730884.0,610928,238819,12174583,2514111.0,3639343,82002.0,46984.0,262457.0,413615,123712.0,321428,720896,412027.0,342606.0,728283.0,185333.0,3565988,60729.0,3146862.0,358397.0,2455141,997567.0,501633.0,876190.0,79751,2209697,2038600.0,2677786.0
4.0,2015NOV,28824797,26099261,11720158,10810319.0,663162,246677,12159672,2551684.0,3572222,79071.0,58632.0,262977.0,410284,115103.0,311781,721564,399463.0,336665.0,695170.0,181512.0,3575630,66383.0,3146122.0,363125.0,2460136,1007982.0,501592.0,872531.0,78031,2219431,2053188.0,2725536.0
5.0,2015DEC,35998917,32712547,14717123,13565080.0,836362,315681,15170714,3214820.0,4397788,99004.0,59667.0,343070.0,509341,152066.0,369541,940960,528871.0,432246.0,754691.0,208331.0,4406693,79617.0,3877967.0,449109.0,3151413,1302161.0,682729.0,1066535.0,99988,2824710,2624169.0,3286370.0
4.0,2016JAN,29256372,26471942,11765838,10890800.0,626294,248744,12415090,2636467.0,3721961,84184.0,46137.0,281943.0,405578,125575.0,308211,751589,421851.0,332365.0,769637.0,194891.0,3504471,62012.0,3073666.0,368793.0,2552191,1078271.0,487228.0,903518.0,83174,2291014,2122828.0,2784430.0
4.0,2016FEB,29021419,26434382,11795081,10866259.0,646226,282596,12364358,2607665.0,3724580,86676.0,46433.0,279327.0,433877,128330.0,309528,728508,440570.0,331608.0,746646.0,193077.0,3474193,59275.0,3061478.0,353440.0,2557920,1074789.0,478656.0,919028.0,85447,2274943,2095589.0,2587037.0
5.0,2016MAR,36173137,32784709,14693193,13529225.0,814277,349691,15173221,3199210.0,4659509,106628.0,56200.0,348602.0,551077,149052.0,371539,920338,537879.0,412411.0,973147.0,232636.0,4217929,76223.0,3674011.0,467695.0,3096573,1336845.0,611960.0,1043687.0,104081,2918295,2699266.0,3388428.0
4.0,2016APR,29111549,26426410,11697174,10790208.0,630477,276489,12428638,2620409.0,3930734,86674.0,47277.0,286544.0,446699,124328.0,297576,764793,450608.0,359944.0,875768.0,190523.0,3459341,57420.0,3023196.0,378725.0,2418154,1060667.0,415371.0,857704.0,84412,2300598,2109708.0,2685139.0
4.0,2016MAY,29508136,26759570,11794086,10897259.0,617553,279274,12484484,2670587.0,3804494,86965.0,45164.0,286673.0,449699,108110.0,304923,747314,447539.0,372868.0,794002.0,161237.0,3487197,57917.0,3049044.0,380236.0,2522206,1059197.0,487278.0,896792.0,78939,2481000,2288437.0,2748566.0
5.0,2016JUN,36649200,33169347,14712407,13553223.0,798523,360661,15379432,3155605.0,4845546,102287.0,61233.0,355718.0,562952,126769.0,362753,986271,596708.0,451554.0,995605.0,243696.0,4278595,81146.0,3752994.0,444455.0,3099686,1256772.0,645117.0,1105467.0,92330,3077508,2829635.0,3479853.0
4.0,2016JUL,29870616,27018834,11808625,10884613.0,638695,285317,12698010,2620551.0,3898646,84420.0,46412.0,302252.0,426196,119550.0,292993,785384,456442.0,356504.0,861241.0,167252.0,3628540,63460.0,3163025.0,402055.0,2550273,1013191.0,496117.0,969757.0,71208,2512199,2329198.0,2851782.0
4.0,2016AUG,29747478,26901204,11906489,10988241.0,637151,281097,12420551,2631930.0,3851673,88724.0,49307.0,305974.0,417842,113909.0,284704,734921,460143.0,369119.0,824476.0,202554.0,3505352,65016.0,3064648.0,375688.0,2431596,1036004.0,473804.0,849611.0,72177,2574164,2394501.0,2846274.0
5.0,2016SEP,37497620,33905891,14978122,13815476.0,827826,334820,15598024,3335167.0,4887480,118155.0,58908.0,364585.0,547367,142743.0,365244,974349,581053.0,448855.0,1047081.0,239140.0,4337048,76817.0,3798689.0,461542.0,3038329,1278085.0,620054.0,1050173.0,90017,3329745,3097245.0,3591729.0
4.0,2016OCT,30573999,27600443,12014036,11095291.0,648975,269770,12838238,2621075.0,3993610,89990.0,45102.0,300327.0,472380,120411.0,296141,762399,495978.0,363779.0,859751.0,187352.0,3696628,63980.0,3251490.0,381158.0,2526925,1034391.0,493040.0,927189.0,72305,2748169,2566492.0,2973556.0
4.0,2016NOV,30518261,27572257,12020787,11031355.0,718204,271228,12739613,2658691.0,3916648,90268.0,46559.0,297223.0,407634,126162.0,295836,751257,471512.0,370458.0,870674.0,189065.0,3585132,68623.0,3132576.0,383933.0,2579142,1053516.0,488161.0,961582.0,75883,2811857,2613960.0,2946004.0
5.0,2016DEC,37990407,34280844,14882097,13765309.0,775958,340830,15873141,3306232.0,4942973,115056.0,62406.0,370581.0,507415,149935.0,365895,934842,628789.0,445761.0,1131024.0,231269.0,4477108,78643.0,3924170.0,474295.0,3146828,1296683.0,622274.0,1134953.0,92918,3525606,3280081.0,3709563.0
4.0,2017JAN,30371973,27332136,11920285,11048715.0,616242,255328,12605589,2603105.0,3892892,91628.0,52852.0,305458.0,369412,123127.0,290909,724291,528217.0,345509.0,870111.0,191378.0,3603666,63671.0,3173564.0,366431.0,2505926,1019972.0,512914.0,898874.0,74166,2806262,2619217.0,3039837.0
4.0,2017FEB,30706682,27645103,12061945,11174313.0,627960,259672,12771484,2616128.0,3959683,89741.0,50948.0,310713.0,377942,139812.0,286359,726030,546026.0,336337.0,927292.0,168483.0,3656481,65770.0,3219676.0,371035.0,2539192,1026400.0,518395.0,914092.0,80305,2811674,2665017.0,3061579.0
5.0,2017MAR,38168136,34448147,15111390,14063133.0,747345,300912,15833275,3325706.0,4694659,113561.0,69097.0,406803.0,491470,178843.0,323279,785334,671227.0,466096.0,995099.0,193850.0,4663091,86158.0,4085470.0,491463.0,3149819,1325397.0,617561.0,1107270.0,99591,3503482,3269591.0,3719989.0
4.0,2017APR,31136858,28094544,12138067,11280214.0,614341,243512,13040395,2657390.0,4006004,112374.0,42838.0,324364.0,402587,126838.0,283606,771860,536681.0,398322.0,796213.0,210321.0,3704993,69177.0,3239332.0,396484.0,2672008,1109812.0,549080.0,940556.0,72560,2916082,2744969.0,3042314.0
4.0,2017MAY,30712766,27680932,12074296,11222400.0,614084,237812,12748948,2629517.0,3925322,89148.0,53623.0,304291.0,385011,145028.0,281085,767352,520910.0,355270.0,800411.0,223193.0,3711537,65566.0,3256905.0,389066.0,2482572,1051383.0,496820.0,863283.0,71086,2857688,2687604.0,3031834.0
5.0,2017JUN,38559607,34949071,14986833,13989716.0,671020,326097,16243261,3350015.0,5034700,130698.0,55398.0,382831.0,495632,166680.0,381020,914339,654500.0,413251.0,1215217.0,225134.0,4677642,71349.0,4102524.0,503769.0,3180904,1353169.0,660138.0,1078099.0,89498,3718977,3516960.0,3610536.0
4.0,2017JUL,30975805,28068573,12083493,11264042.0,598233,221218,13042023,2687227.0,3980426,95890.0,48132.0,304984.0,419019,145107.0,305218,732365,534420.0,369562.0,793103.0,232626.0,3770278,59679.0,3315281.0,395318.0,2604092,1115032.0,523368.0,891843.0,73849,2943057,2780722.0,2907232.0
4.0,2017AUG,31288537,28331602,12103856,11288764.0,606179,208913,13178003,2712001.0,4198525,103383.0,50716.0,303184.0,395269,149116.0,304122,768543,542221.0,362709.0,1008676.0,210586.0,3782142,53730.0,3345852.0,382560.0,2485335,1026006.0,536511.0,850873.0,71945,3049743,2856842.0,2956935.0
5.0,2017SEP,39269670,35466852,15226008,14187052.0,746094,292862,16194874,3358233.0,4905023,131722.0,63907.0,397173.0,466402,152983.0,375947,931651,677509.0,436074.0,998111.0,273544.0,4766118,78823.0,4167052.0,520243.0,3165500,1346085.0,656636.0,1079058.0,83721,4045970,3835529.0,3802818.0
4.0,2017OCT,31540155,28481186,12297370,11469915.0,591634,235821,13048525,2639301.0,4073262,104726.0,51340.0,316466.0,371156,158581.0,324261,791162,533357.0,352494.0,841420.0,228299.0,3746226,63163.0,3297156.0,385907.0,2589736,1101810.0,527623.0,885056.0,75247,3135291,2961659.0,3058969.0
4.0,2017NOV,31832028,28705485,12347271,11507192.0,605759,234320,13182649,2678966.0,4136770,108648.0,53119.0,326702.0,406312,135666.0,300905,784181,585951.0,356918.0,873871.0,204497.0,3780699,60729.0,3333539.0,386431.0,2586214,1129153.0,540504.0,840923.0,75634,3175565,3003605.0,3126543.0
5.0,2017DEC,39911832,35921271,15468423,14405931.0,777903,284589,16548146,3431005.0,5234815,132666.0,64097.0,413850.0,494081,176024.0,362170,979622,670961.0,464927.0,1209073.0,267344.0,4698176,76642.0,4129495.0,492039.0,3184150,1368526.0,669353.0,1049037.0,97234,3904702,3684445.0,3990561.0
4.0,2018JAN,31865829,28669325,12275535,11421828.0,621988,231719,13267530,2735881.0,4179853,105617.0,54105.0,332341.0,407345,147622.0,297978,761521,553313.0,394785.0,913461.0,211765.0,3724853,61510.0,3288664.0,374679.0,2626943,1164683.0,536204.0,847040.0,79016,3126260,2933729.0,3196504.0
4.0,2018FEB,32030117,28793636,12417578,11569835.0,614741,233002,13185107,2721823.0,4077070,102646.0,56070.0,340032.0,383913,138321.0,296494,807772,538696.0,377756.0,839113.0,196257.0,3727188,61571.0,3284063.0,381554.0,2659026,1151193.0,527471.0,906157.0,74205,3190951,3014525.0,3236481.0
5.0,2018MAR,39365234,35565687,15357431,14242889.0,815667,298875,16324519,3392927.0,5016736,126903.0,69490.0,432856.0,478047,179877.0,377789,923353,649647.0,436335.0,1058182.0,284257.0,4579810,79340.0,4036249.0,464221.0,3335046,1355685.0,671329.0,1200917.0,107115,3883737,3632942.0,3799547.0
4.0,2018APR,31975412,28836625,12434850,11530828.0,670294,233728,13204404,2698667.0,4115960,105967.0,56216.0,347686.0,361554,137417.0,321878,756299,544377.0,355825.0,911510.0,217231.0,3694878,65085.0,3268993.0,360800.0,2694899,1107579.0,534907.0,973324.0,79089,3197371,3024039.0,3138787.0
4.0,2018MAY,32636515,29386463,12650939,11722493.0,685894,242552,13383795,2763504.0,4106210,104499.0,54788.0,358905.0,366979,148526.0,314583,782342,569164.0,374278.0,828750.0,203396.0,3797733,62886.0,3359884.0,374963.0,2716348,1121884.0,525625.0,1003631.0,65208,3351729,3174415.0,3250052.0
5.0,2018JUN,40734714,36525928,15816789,14734070.0,802942,279777,16541317,3456271.0,5032338,121723.0,83400.0,449739.0,452638,193774.0,376361,984593,642272.0,479035.0,991381.0,257422.0,4693008,76016.0,4157246.0,459746.0,3359700,1395172.0,660759.0,1212857.0,90912,4167822,3945120.0,4208786.0
4.0,2018JUL,32842333,29506306,12737043,11782606.0,737099,217338,13353718,2733690.0,4135881,106099.0,59744.0,366691.0,338960,142594.0,309712,712550,626677.0,367386.0,864445.0,241023.0,3832593,63115.0,3380552.0,388926.0,2651554,1095556.0,522426.0,959018.0,74554,3415545,3241424.0,3336027.0
4.0,2018AUG,32997633,29646804,12648887,11722609.0,701849,224429,13540969,2748045.0,4308198,105985.0,61452.0,375279.0,369409,147863.0,313301,784775,620212.0,373475.0,945492.0,210955.0,3742421,65533.0,3310993.0,365895.0,2742305,1148241.0,540998.0,976221.0,76845,3456948,3276353.0,3350829.0
5.0,2018SEP,41168268,36925632,15718445,14597183.0,848671,272591,16874650,3398881.0,5314213,126380.0,73666.0,469605.0,434895,184849.0,388507,1044819,752680.0,501324.0,1083035.0,254453.0,4703715,79818.0,4178415.0,445482.0,3457841,1442501.0,672808.0,1249589.0,92943,4332537,4113723.0,4242636.0
4.0,2018OCT,32826707,29438910,12623896,11723514.0,686030,214352,13351784,2675069.0,4206703,92089.0,71335.0,394957.0,374234,122954.0,304804,801717,600815.0,434768.0,850017.0,159013.0,3747991,63293.0,3330878.0,353820.0,2722021,1101776.0,522952.0,1023189.0,74104,3463230,3271408.0,3387797.0
4.0,2018NOV,33392867,29916209,12682724,11794360.0,686456,201908,13690260,2699549.0,4359643,103795.0,75696.0,391807.0,352438,124262.0,291347,949296,606963.0,379340.0,847220.0,237479.0,3827163,71870.0,3393730.0,361563.0,2803905,1170993.0,559429.0,997510.0,75973,3543225,3362228.0,3476658.0
5.0,2018DEC,41696136,37366565,15954664,14855870.0,845618,253176,17032552,3499352.0,5287211,130516.0,90667.0,470919.0,451737,144718.0,366174,939633,772097.0,504992.0,1118956.0,296802.0,4845949,69377.0,4311398.0,465174.0,3400040,1454291.0,638018.0,1218132.0,89599,4379349,4139899.0,4329571.0
4.0,2019JAN,33376215,29950505,12862605,11949329.0,689330,223946,13520610,2721828.0,4285770,112005.0,68880.0,416006.0,359484,122169.0,275203,855445,574994.0,405301.0,873869.0,222414.0,3858546,61712.0,3411178.0,385656.0,2654466,1096690.0,522374.0,942617.0,92785,3567290,3427535.0,3425710.0
4.0,2019FEB,33535922,30046744,12799118,11897936.0,682740,218442,13583956,2742607.0,4356560,113071.0,68621.0,424344.0,359736,106848.0,247146,826497,584466.0,406026.0,921479.0,298326.0,3843282,64259.0,3384694.0,394329.0,2641507,1160078.0,522578.0,900482.0,58369,3663670,3470089.0,3489178.0
5.0,2019MAR,42207235,37803583,16022572,14812420.0,913601,296551,17126627,3373674.0,5522542,140265.0,83473.0,502834.0,427723,146498.0,381498,1070799,782762.0,475657.0,1109248.0,401785.0,4875239,77420.0,4336064.0,461755.0,3355172,1425282.0,733285.0,1114107.0,82498,4654384,4408042.0,4403652.0
4.0,2019APR,33664496,30122538,12817122,11908836.0,711970,196316,13554793,2699267.0,4338044,116083.0,77435.0,401289.0,439599,122680.0,264429,749538,606706.0,367907.0,994966.0,197412.0,3960594,62275.0,3505978.0,392341.0,2556888,1137981.0,525944.0,821020.0,71943,3750623,3528690.0,3541958.0
4.0,2019MAY,33523798,29954614,12788820,11844630.0,713006,231184,13397953,2673969.0,4315806,116656.0,77399.0,408364.0,387147,114417.0,262378,866026,643312.0,373150.0,840091.0,226866.0,3765809,64144.0,3322014.0,379651.0,2642369,1153277.0,530815.0,873770.0,84507,3767841,3558504.0,3569184.0
5.0,2019JUN,42528005,38028873,16117371,14893741.0,910954,312676,17147565,3366945.0,5563588,124726.0,93463.0,518469.0,436756,146361.0,341478,1125916,786393.0,451105.0,1128568.0,410353.0,4847915,76664.0,4284158.0,487093.0,3369117,1507877.0,641076.0,1113010.0,107154,4763937,4523529.0,4499132.0
4.0,2019JUL,34307940,30729354,12937726,11936478.0,733052,268196,13656711,2719832.0,4457567,109838.0,78741.0,410020.0,395042,117877.0,267344,957554,654272.0,386645.0,873984.0,206250.0,3910490,65100.0,3440331.0,405059.0,2568822,1025170.0,523453.0,931848.0,88351,4134917,3933833.0,3578586.0
4.0,2019AUG,34027037,30493255,12984481,12003694.0,716259,264528,13531525,2680947.0,4408910,106005.0,76081.0,413866.0,351428,107247.0,273368,994001,625387.0,379593.0,863531.0,218403.0,3849733,63390.0,3379592.0,406751.0,2591935,1139133.0,517238.0,868916.0,66648,3977249,3790304.0,3533782.0
5.0,2019SEP,42435193,38105145,16285688,15040844.0,904526,340318,16861907,3284226.0,5441444,126406.0,88844.0,494274.0,488529,133793.0,346451,1170466,775139.0,462943.0,1084486.0,270113.0,4798613,76300.0,4225252.0,497061.0,3337624,1442467.0,732646.0,1068479.0,94032,4957550,4694462.0,4330048.0
4.0,2019OCT,33936493,30410763,13045799,12033867.0,724124,287808,13426967,2658857.0,4341514,105917.0,68351.0,383204.0,356869,125024.0,294599,897098,576460.0,363296.0,872893.0,297803.0,3830937,58775.0,3375388.0,396774.0,2595659,1188184.0,521992.0,817631.0,67852,3937997,3735629.0,3525730.0
4.0,2019NOV,33685200,30227628,12931422,11923445.0,727366,280611,13423609,2674766.0,4331564,106228.0,68834.0,402133.0,296660,123765.0,320868,911696,574401.0,405141.0,871385.0,250453.0,3789670,57086.0,3325382.0,407202.0,2627609,1132247.0,549301.0,880059.0,66002,3872597,3665868.0,3457572.0
5.0,2019DEC,42372937,37865809,16137660,14750318.0,972595,414747,16824526,3324283.0,5407986,135223.0,86861.0,473283.0,392443,159071.0,426715,1126860,714740.0,540610.0,1083591.0,268589.0,4756702,75961.0,4181673.0,499068.0,3335555,1435366.0,709275.0,1109639.0,81275,4903623,4655991.0,4507128.0
5.0,2020JAN,42522735,38170344,16333195,15205321.0,804415,323459,16977946,3330674.0,5495899,135276.0,100206.0,430821.0,381661,141045.0,495768,1140873,741815.0,547813.0,1089745.0,290876.0,4877997,60441.0,4293862.0,523694.0,3273376,1396317.0,681560.0,1112304.0,83195,4859203,4608658.0,4352391.0
4.0,2020FEB,33656953,30229841,13028930,12039007.0,737896,252027,13448856,2653572.0,4289808,113250.0,90316.0,368228.0,318601,127129.0,308017,889093,605845.0,346763.0,802988.0,319578.0,3869224,56584.0,3412989.0,399651.0,2636252,1100013.0,534303.0,929660.0,72276,3752055,3522442.0,3427112.0
5.0,2020MAR,39397732,36047503,17679746,16387691.0,915931,376124,13490607,3365851.0,4063928,195161.0,79919.0,467416.0,339323,115948.0,253082,804941,450799.0,452082.0,684507.0,220750.0,3073830,57075.0,2721135.0,295620.0,2986998,1054286.0,703504.0,1147183.0,82025,4877150,4670107.0,3350229.0
4.0,2020APR,25759921,24562148,13660617,12890269.0,483050,287298,6324530,2040030.0,1806569,138226.0,16128.0,224178.0,134110,37749.0,119297,395628,150921.0,213184.0,302531.0,74617.0,1224502,37224.0,1058623.0,128655.0,1253429,250195.0,399167.0,565855.0,38212,4577001,4473676.0,1197773.0
4.0,2020MAY,28926253,27224369,13852274,13063902.0,532939,255433,7775446,2290528.0,2199774,146926.0,28070.0,248116.0,134483,30805.0,129660,457036,145521.0,381813.0,395986.0,101358.0,1436570,22640.0,1281627.0,132303.0,1848574,415734.0,460111.0,937031.0,35698,5596649,5424298.0,1701884.0
5.0,2020JUN,41112283,38546105,17295426,16310852.0,678974,305600,14055980,3136960.0,4484385,263706.0,52841.0,398319.0,212419,109179.0,250689,937926,504662.0,532226.0,982627.0,239791.0,3142929,76575.0,2803983.0,262371.0,3291706,1243176.0,724982.0,1262946.0,60602,7194699,6969045.0,2566178.0
4.0,2020JUL,34462053,31806124,13413760,12503335.0,667869,242556,12795722,2551803.0,4416066,164154.0,67219.0,374387.0,243603,181328.0,277237,861559,517564.0,423314.0,1054259.0,251442.0,2991633,67566.0,2656313.0,267754.0,2836220,1143977.0,583236.0,1048038.0,60969,5596642,5359947.0,2655929.0
4.0,2020AUG,34690012,31926411,13493026,12594950.0,650715,247361,13069282,2555071.0,4348466,163229.0,82097.0,368447.0,247420,113371.0,297004,896702,548218.0,431012.0,996570.0,204396.0,3251629,65799.0,2848571.0,337259.0,2914116,1166935.0,582221.0,1096795.0,68165,5364103,5125240.0,2763601.0
5.0,2020SEP,43846785,40374029,16987167,15799134.0,884945,303088,16810610,3259406.0,5750385,208957.0,115273.0,475875.0,276277,200500.0,394348,1121605,774033.0,572535.0,1290955.0,320027.0,4114435,89695.0,3583116.0,441624.0,3686384,1478156.0,715651.0,1406123.0,86454,6576252,6284073.0,3472756.0
4.0,2020OCT,35691421,32860071,13507914,12555129.0,711139,241646,13710558,2664677.0,4711972,182505.0,91870.0,375147.0,217305,163613.0,313038,1252102,572264.0,451356.0,910956.0,181816.0,3326372,75773.0,2903424.0,347175.0,3007537,1206379.0,596752.0,1112265.0,92141,5641599,5383146.0,2831350.0
4.0,2020NOV,33949849,31569277,13809324,12851171.0,705305,252848,12211971,2618037.0,4046078,156545.0,90983.0,348935.0,246937,38325.0,195891,982989,428809.0,448044.0,894434.0,214186.0,2570150,56171.0,2260642.0,253337.0,2977706,1078973.0,570571.0,1257448.0,70714,5547982,5351227.0,2380572.0
