Number of weeks,Description,All retailing,All retailing except automotive fuel,Predominantly food stores,Non-specialised stores (i.e supermarkets),Specialist food stores (i.e butchers and bakers),"Alcoholic drink, beverages & tobacco",Predominantly non-food stores,Non-specialised stores (i.e department stores),Other non-food stores,Dispensing chemists,Medical goods,Cosmetics and toilet articles,Computers & telecoms equipment,"Carpets, rugs, wall & coverings","Books, newspapers & stationery","Sports equipment, games and toys",Watches and jewellery,"Flowers, plants, seeds, fertilisers, pet animals and pet food",Other retail sales of new goods in specialised stores,Second-hand goods,"Textile, clothing & footwear stores",Textiles,Clothing,Footwear and leather goods,Household goods stores,"Furniture, lighting and household articles n.e.c",Electrical household aplliances,"Hardware, paints and glass",Music and video recordings & equiptment,Non-store retailing,Mail order,Fuel
5.0,2008JUN,30394445,26902481,12169614,11031949.0,701071,436594,13445528,2259440.0,4267398,129478.0,39208.0,243648.0,545179,231188.0,449906,587286,427177.0,449680.0,1004501.0,160147.0,3611818,77008.0,3154942.0,379868.0,3306872,1142128.0,835158.0,1109527.0,220059,1287339,1049953.0,3491964.0
4.0,2008JUL,24420926,21504048,9809515,8894419.0,558349,356747,10695540,1793597.0,3393034,101473.0,29833.0,196626.0,433808,188651.0,357598,463540,349709.0,364233.0,779206.0,128357.0,2921635,61584.0,2554645.0,305406.0,2587274,860177.0,650370.0,894875.0,181852,998993,837567.0,2916878.0
4.0,2008AUG,24404739,21607984,9813707,8889214.0,578181,346312,10777253,1808750.0,3394706,104405.0,33590.0,194736.0,437421,198635.0,362495,474807,276896.0,370825.0,818870.0,122026.0,2983820,62930.0,2603311.0,317579.0,2589977,868065.0,672066.0,868181.0,181665,1017024,838385.0,2796755.0
5.0,2008SEP,30483961,27031563,12353168,11198725.0,722959,431484,13378683,2247933.0,4217209,121060.0,39622.0,236891.0,544654,216920.0,456124,607143,344320.0,462986.0,1026418.0,161071.0,3726281,82968.0,3247584.0,395729.0,3187260,1062273.0,805268.0,1095041.0,224678,1299712,1061153.0,3452398.0
4.0,2008OCT,24071143,21474467,9974135,9048136.0,582969,343030,10466968,1778880.0,3288659,95901.0,35843.0,191943.0,425913,166028.0,358888,484187,276570.0,352209.0,781771.0,119406.0,2922009,60522.0,2561215.0,300272.0,2477420,829283.0,593318.0,880826.0,173993,1033364,832631.0,2596676.0
4.0,2008NOV,23969835,21493156,10011892,9102216.0,571768,337908,10419636,1793440.0,3203221,89864.0,30528.0,193835.0,408309,166942.0,351008,485168,261423.0,339513.0,750594.0,126037.0,2943478,51774.0,2583975.0,307729.0,2479497,801962.0,616444.0,889613.0,171478,1061628,831560.0,2476679.0
5.0,2008DEC,29666426,26772467,12299104,11193016.0,722385,383703,13137906,2294960.0,4049553,113373.0,43515.0,241723.0,505340,186680.0,442797,627849,362903.0,403172.0,964254.0,157947.0,3656414,58729.0,3207919.0,389766.0,3136979,1001673.0,842073.0,1072878.0,220355,1335457,1060288.0,2893959.0
4.0,2009JAN,23965861,21560650,10034335,9144646.0,580377,309312,10497399,1784508.0,3255472,90171.0,31868.0,185421.0,395422,163863.0,395473,536366,319970.0,254659.0,750116.0,132143.0,2988420,78078.0,2596519.0,313823.0,2468999,807057.0,619682.0,857165.0,185095,1028916,853298.0,2405211.0
4.0,2009FEB,23759794,21386778,10187026,9267687.0,584016,335323,10226382,1750987.0,3134389,86713.0,30751.0,189655.0,375279,161190.0,386188,493708,297919.0,235902.0,753499.0,123585.0,2933743,73052.0,2537624.0,323067.0,2407263,751207.0,637840.0,843511.0,174705,973370,818278.0,2373016.0
5.0,2009MAR,29895176,26987760,12772260,11647747.0,728423,396090,12912964,2261867.0,3963564,107954.0,37123.0,226756.0,484611,245366.0,489584,612050,370301.0,289179.0,941143.0,159497.0,3701376,68849.0,3231061.0,401466.0,2986157,940010.0,759375.0,1082669.0,204103,1302536,1087310.0,2907416.0
